可爱,146699.4448738842
纠结,145490.67402342116
帅气,144804.20396867231
惬意,144590.89230128017
无聊,143596.65277874316
幸福,141952.456577465
欢乐,140905.73242600402
恶心,140664.0994978646
高兴,140509.89700920996
漂亮,140416.43092110954
开心,139497.30198626762
郁闷,139118.8758232767
舒服,136661.1122975606
强大,134923.7447809139
感动,134901.7050303876
痛苦,134579.93503887532
重要,133002.8862735427
霸气,132782.87409618057
温暖,132285.28274776484
累,132181.00131090512
给力,130837.51864192601
美好,130655.85741130037
奇怪,130413.58117255844
神奇,130228.02628857113
疯狂,130034.85362441343
辛苦,129530.97406212958
便宜,129194.7342811117
热闹,129097.50932059485
邪恶,129051.26162397102
有爱,129023.05970997497
聪明,128499.91825141844
悲催,128351.6764009152
搞笑,128273.94302114076
期待,127725.55610769033
可怜,127552.93298316133
喜欢,127446.40409067774
激动,127350.67456089902
幸运,126491.6899688466
伟大,126361.63782677967
恐怖,126235.72073431771
复杂,126090.79695066891
好看,126019.1069931102
尴尬,125875.0909673146
浪漫,125804.78196584413
美味,125702.29255085491
可怕,125518.09917938197
简单,125427.48971678162
美,125166.7220114451
兴奋,125062.34855039953
厉害,124988.34716502062
精彩,124759.01042770297
艰难,124363.50358768484
难受,123907.97428906265
萌,123866.57442506342
诱人,123308.51786171302
丰富,123299.72289854258
专业,122620.77449477171
温馨,122435.75158954499
敬业,121556.25079221399
冷,121452.37070838397
帅,121128.78345087572
震撼,121109.91243711767
紧张,120715.58243760558
好吃,120678.10683726092
经典,120180.99735418643
性感,120100.25657231566
有意思,120016.6755410627
好,119793.72249577902
快乐,119423.55844670105
淡定,118583.51089734807
脆弱,118582.38238886815
遗憾,118510.10432551087
贴心,118479.81868167994
感人,117912.59325631705
无奈,117866.64529469474
高,117610.71322514377
大,117514.5003816129
伤感,117428.2021046474
high,117421.18016996248
伤心,117089.98878498789
特别,116918.754768636
熟悉,116869.1973915779
苦逼,116610.20282292279
难过,116487.04311174876
美丽,115934.52880040032
销魂,115889.3324264782
好玩,115633.26441693673
有趣,115505.87438976082
灿烂,115416.40001368843
犀利,115283.45425439841
安静,115245.07587869448
完美,115220.82594821116
和谐,114491.22327116216
坏,114230.76225633125
低调,113832.79927045005
认真,113650.49262747314
形象,113387.85883198986
年轻,113370.66634971861
诡异,113234.17999369127
清晰,113221.67369449158
深刻,113159.81227861857
好听,113089.49260117851
爽,112956.17652718195
有创意,112955.0414952307
有才,112807.4393302073
难得,112598.22417365202
坑爹,112459.84727672343
讨厌,112199.98309350849
贵,112145.4947427699
充实,111880.60789978797
强悍,111834.66258462911
实用,111778.51452565298
热情,111473.05856082427
多,111437.59740632106
迷人,111068.2470321708
赞,111052.00909847525
享受,110829.26501002628
轻松,110458.47834166093
不好,110100.19784085188
长,109948.82216688007
忙,109788.73140039688
善良,109768.22158892553
变态,109750.8786397589
失败,109674.40653316955
成功,109639.36833961373
爱,109615.29218399336
怀念,109595.57469653008
爱你,109521.72392474214
刺激,109468.40900209805
寂寞,109416.15365242198
干净,109382.4532872973
方便,109372.33300606471
牛逼,109355.75823144107
精致,108046.72713031372
珍贵,107865.55692102492
强,107638.0015620961
拉风,107574.17489797158
勇敢,107421.21096423495
傻,107331.43840689257
热,107012.65970722334
严重,106980.5372472766
差,106707.07421674757
不错,106683.3004637459
瘦,106675.22830036742
明显,106569.47627757487
单纯,106433.15401358073
愉快,106198.5632657484
麻烦,106156.10752632543
可愛,106018.73412869996
健康,105957.30199468079
心疼,105919.24843911803
快,105770.24766455806
甜蜜,105692.43111922029
低,105551.122451989
合适,105502.46237623214
酷,104403.57594041803
矛盾,104290.7658812672
危险,104268.50611809241
棒,104132.71764088114
优雅,103907.98922685282
失望,103769.96783772386
黑,103693.12503057151
蛋疼,103691.7907405148
牛,103625.35514585617
忙碌,103595.16543278529
残忍,103347.25386696387
困难,103304.4183183266
亲切,103302.70935048691
清楚,103056.56586326999
悲哀,103037.33077072304
有钱,102948.56232772293
好笑,102933.66494124135
開心,102876.618374094
靠谱,102796.21742009492
有用,102785.06970888577
沉重,102683.45586320169
牛b,102586.08964293636
个性,102457.29841943749
努力,102379.37157686045
有型,102196.40185371357
准,102189.79855302209
羡慕,102173.7729006241
潇洒,101974.79971542078
残酷,101813.62917658334
远,101582.42152320851
少,101448.75164452386
温柔,101340.53783542759
壮观,101230.62707661449
自然,100876.2963127485
不靠谱,100753.64722904305
杯具,100742.3365249691
痛,100732.00438657642
悲剧,100420.77154767392
深,100043.02614620634
无语,99953.43967361312
喜欢你,99795.46511899993
小,99713.72379581268
二,99319.4189185146
有意义,99215.91206605679
胖,99144.84446233737
遥远,99083.7774861975
烦人,98660.6147612272
真实,98557.89951577828
委屈,98522.44212568786
惊艳,98367.94907506424
无趣,98316.42065634712
不要脸,98276.71449935329
过瘾,98229.78514861534
意外,97902.18573178003
正确,97890.35627838307
奇妙,97728.13511571352
难,97630.638446333
舒适,97414.97498508968
man,97403.42693568853
不开心,97393.2202128099
孤独,97073.9389853117
骄傲,97055.38561554706
神秘,96777.98695893682
心酸,96711.55120916366
安逸,96312.83211730928
幽默,96229.57511180593
甜,96167.71491444162
丑,96155.08482127813
夸张,96080.5612146645
可惜,96055.61094585259
无辜,96016.42200796817
喜欢他,95976.19044506036
倒霉,95957.55861642692
精神,95893.47214560276
不容易,95884.69464012884
nb,95683.57862028538
到位,95553.81533069983
凄凉,95402.771912688
奢侈,95363.67892861897
悲伤,95225.64907168825
丰盛,95154.94756991926
崩溃,95139.85106711701
惊喜,95109.28581142818
坚强,95071.87105041376
